location	Township	range	meridian	rate								
1201604	12	16	4	0,06								
1201704	12	17	4	0,07								
1201804	12	18	4	0,06								
1201904	12	19	4	0,06								
1202004	12	20	4	0,07								
1202104	12	21	4	0,07								
1202204	12	22	4	0,07								
1202304	12	23	4	0,06								
1202404	12	24	4	0,04								
1202504	12	25	4	0,04								
1202604	12	26	4	0,05								
1202704	12	27	4	0,05								
1202803	12	28	3	0,07								
1202804	12	28	4	0,05								
1202903	12	29	3	0,07								
1202904	12	29	4	0,06								
1203003	12	30	3	0,07								
1203004	12	30	4	0,06								
1300104	13	1	4	0,06								
1300105	13	1	5	0,06								
1300204	13	2	4	0,06								
1300205	13	2	5	0,06								
1300304	13	3	4	0,06								
1300305	13	3	5	0,07								
1300404	13	4	4	0,07								
1300405	13	4	5	0,07								
1300504	13	5	4	0,06								
1300505	13	5	5	0,07								
1300604	13	6	4	0,05								
1300605	13	6	5	0,07								
1300704	13	7	4	0,05								
1300804	13	8	4	0,06								
1300904	13	9	4	0,07								
1301004	13	10	4	0,07								
1301104	13	11	4	0,06								
1301204	13	12	4	0,05								
1301304	13	13	4	0,06								
1301404	13	14	4	0,06								
1301504	13	15	4	0,06								
1301604	13	16	4	0,06								
1301704	13	17	4	0,07								
1301804	13	18	4	0,08								
1301904	13	19	4	0,06								
1302004	13	20	4	0,06								
1302104	13	21	4	0,08								
1302204	13	22	4	0,08								
1302304	13	23	4	0,07								
1302404	13	24	4	0,06								
1302504	13	25	4	0,06								
1302604	13	26	4	0,06								
1302704	13	27	4	0,06								
1302803	13	28	3	0,06								
1302804	13	28	4	0,06								
1302903	13	29	3	0,06								
1302904	13	29	4	0,06								
1303003	13	30	3	0,06								
1303004	13	30	4	0,06								
1400104	14	1	4	0,07								
1400105	14	1	5	0,07								
1400204	14	2	4	0,06								
1400205	14	2	5	0,07								
1400304	14	3	4	0,06								
1400305	14	3	5	0,07								
1400404	14	4	4	0,07								
1400405	14	4	5	0,07								
1400504	14	5	4	0,05								
1400505	14	5	5	0,07								
1400604	14	6	4	0,05								
1400605	14	6	5	0,07								
1400704	14	7	4	0,05								
1400804	14	8	4	0,05								
1400904	14	9	4	0,06								
1401004	14	10	4	0,06								
1401104	14	11	4	0,05								
1401204	14	12	4	0,04								
1401304	14	13	4	0,05								
1401404	14	14	4	0,05								
1401504	14	15	4	0,06								
1401604	14	16	4	0,05								
1401704	14	17	4	0,06								
1401804	14	18	4	0,07								
1401904	14	19	4	0,07								
1402004	14	20	4	0,07								
1402104	14	21	4	0,08								
1402204	14	22	4	0,07								
1402304	14	23	4	0,07								
1402404	14	24	4	0,07								
1402504	14	25	4	0,08								
1402604	14	26	4	0,07								
1402704	14	27	4	0,07								
1402803	14	28	3	0,07								
1402804	14	28	4	0,06								
1402903	14	29	3	0,07								
1402904	14	29	4	0,06								
1403003	14	30	3	0,07								
1403004	14	30	4	0,06								
1500104	15	1	4	0,08								
1500105	15	1	5	0,07								
1500204	15	2	4	0,07								
1500205	15	2	5	0,07								
1500304	15	3	4	0,07								
1500305	15	3	5	0,07								
1500404	15	4	4	0,06								
1500405	15	4	5	0,07								
1500504	15	5	4	0,06								
1500505	15	5	5	0,07								
1500604	15	6	4	0,06								
1500605	15	6	5	0,07								
1500704	15	7	4	0,06								
1500804	15	8	4	0,06								
1500904	15	9	4	0,06								
1501004	15	10	4	0,06								
1501104	15	11	4	0,06								
1501204	15	12	4	0,05								
1501304	15	13	4	0,04								
1501404	15	14	4	0,05								
1501504	15	15	4	0,04								
1501604	15	16	4	0,05								
1501704	15	17	4	0,05								
1501804	15	18	4	0,06								
1501904	15	19	4	0,07								
1502004	15	20	4	0,09								
1502104	15	21	4	0,1								
1502204	15	22	4	0,07								
1502304	15	23	4	0,07								
1502404	15	24	4	0,09								
1502504	15	25	4	0,09								
1502604	15	26	4	0,08								
1502704	15	27	4	0,07								
1502803	15	28	3	0,08								
1502804	15	28	4	0,07								
1502903	15	29	3	0,08								
1502904	15	29	4	0,07								
1503003	15	30	3	0,08								
1503004	15	30	4	0,07								
1600104	16	1	4	0,08								
1600105	16	1	5	0,07								
1600204	16	2	4	0,07								
1600205	16	2	5	0,07								
1600304	16	3	4	0,07								
1600305	16	3	5	0,07								
1600404	16	4	4	0,07								
1600405	16	4	5	0,07								
1600504	16	5	4	0,06								
1600505	16	5	5	0,07								
1600604	16	6	4	0,06								
1600605	16	6	5	0,07								
1600704	16	7	4	0,06								
1600705	16	7	5	0,07								
1600804	16	8	4	0,06								
1600904	16	9	4	0,05								
1601004	16	10	4	0,06								
1601104	16	11	4	0,06								
1601204	16	12	4	0,05								
1601304	16	13	4	0,04								
1601404	16	14	4	0,05								
1601504	16	15	4	0,06								
1601604	16	16	4	0,05								
1601704	16	17	4	0,06								
1601804	16	18	4	0,07								
1601904	16	19	4	0,07								
1602004	16	20	4	0,09								
1602104	16	21	4	0,11								
1602204	16	22	4	0,08								
1602304	16	23	4	0,08								
1602404	16	24	4	0,09								
1602504	16	25	4	0,09								
1602604	16	26	4	0,08								
1602704	16	27	4	0,09								
1602803	16	28	3	0,08								
1602804	16	28	4	0,07								
1602903	16	29	3	0,08								
1602904	16	29	4	0,07								
1603003	16	30	3	0,08								
1603004	16	30	4	0,07								
1700104	17	1	4	0,07								
1700105	17	1	5	0,07								
1700204	17	2	4	0,07								
1700205	17	2	5	0,07								
1700304	17	3	4	0,07								
1700305	17	3	5	0,07								
1700404	17	4	4	0,06								
1700405	17	4	5	0,07								
1700504	17	5	4	0,06								
1700505	17	5	5	0,07								
1700604	17	6	4	0,06								
1700605	17	6	5	0,07								
1700704	17	7	4	0,06								
1700705	17	7	5	0,07								
1700804	17	8	4	0,06								
1700904	17	9	4	0,06								
1701004	17	10	4	0,06								
1701104	17	11	4	0,05								
1701204	17	12	4	0,05								
1701304	17	13	4	0,04								
1701404	17	14	4	0,05								
1701504	17	15	4	0,06								
1701604	17	16	4	0,08								
1701704	17	17	4	0,07								
1701804	17	18	4	0,06								
1701904	17	19	4	0,07								
1702004	17	20	4	0,08								
1702104	17	21	4	0,09								
1702204	17	22	4	0,1								
1702304	17	23	4	0,09								
1702404	17	24	4	0,08								
1702504	17	25	4	0,08								
1702604	17	26	4	0,11								
1702704	17	27	4	0,11								
1702803	17	28	3	0,07								
1702804	17	28	4	0,1								
1702903	17	29	3	0,07								
1702904	17	29	4	0,09								
1703003	17	30	3	0,07								
1703004	17	30	4	0,08								
1800104	18	1	4	0,05								
1800105	18	1	5	0,07								
1800204	18	2	4	0,07								
1800205	18	2	5	0,07								
1800304	18	3	4	0,07								
1800305	18	3	5	0,07								
1800404	18	4	4	0,07								
1800405	18	4	5	0,07								
1800504	18	5	4	0,06								
1800505	18	5	5	0,07								
1800604	18	6	4	0,06								
1800605	18	6	5	0,07								
1800704	18	7	4	0,06								
1800705	18	7	5	0,07								
1800804	18	8	4	0,05								
1800904	18	9	4	0,06								
1801004	18	10	4	0,06								
1801104	18	11	4	0,06								
1801204	18	12	4	0,06								
1801304	18	13	4	0,04								
1801404	18	14	4	0,05								
1801504	18	15	4	0,06								
1801604	18	16	4	0,06								
1801704	18	17	4	0,07								
1801804	18	18	4	0,07								
1801904	18	19	4	0,07								
